,,,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
data_prop,6,,2,2,0,5,9,1,1,4,1,2,49,0,0,0.909090909,0.75,1,1,23.5,1,0.5,1
data_prop,7,,3,1,0,1,3,3,1,0,3,2,3,0,0,0,1,0,0,0,1,1,0
data_prop,8,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,9,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,10,,23,1,0,10,23,253,2,8,23,2,23,0,0,0,0.255434783,0,0,0,1,1,0
data_prop,11,,13,1,0,3,18,26,3,0,13,0.75,134,1,0,0,0.512820513,0,0,8.923076923,1,0.8462,0
data_prop,12,,12,1,0,8,45,0,4,5,10,0.651515152,234,1,1,0,0.309090909,0,0,18,3,1.5833,1
data_prop,13,,29,1,0,23,48,274,22,1,23,0.876984127,459,1,0,0,0.310344828,0,0,14.51724138,3,1.1724,0
data_prop,14,,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
data_prop,15,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,16,,2,2,0,7,6,1,6,1,2,2,16,0,0,0.923076923,1,0,0,7,1,0.5,0
data_prop,17,,5,1,0,16,53,8,1,15,2,1.232758621,364,1,0,0,0.52,0,0,66,8,3.2,0
data_prop,18,,27,1,0,59,45,221,55,5,27,0.91958042,333,0.727272727,3,0,0.162962963,1,1,10.92592593,7,1.2963,0
data_prop,19,,3,1,15,17,5,1,15,2,3,0.5,17,1,0,0,0.666666667,0,0,4.333333333,1,0.6667,0
data_prop,20,,20,1,0,23,94,126,0,23,11,0.885964912,771,1,5,0,0.20242915,0,0,37.25,9,2.5,1
data_prop,21,,7,1,0,25,41,3,16,9,3,0.666666667,261,1,1,0,0.333333333,0,0,35.71428571,4,1.5714,0
data_prop,22,,2,2,0,5,9,1,1,4,1,2,69,1,0,0.909090909,0.75,2,2,32,7,3.5,0
data_prop,23,,1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
data_prop,24,,2,1,0,3,7,1,2,1,1,2,32,0,0,0,0.5,0,0,15,2,1,0
data_prop,25,,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
data_prop,26,,10,1,0,6,18,21,3,3,10,0.666666667,174,1,0,0,0.533333333,0,0,16,19,2.7,0
data_prop,27,,5,1,0,8,5,10,3,5,5,2,5,0,0,0,0.433333333,0,0,0,1,1,0
data_prop,28,,2,1,0,4,14,0,1,3,2,0,78,1,0,0,0.666666667,0,0,37.5,3,1.5,0
data_prop,29,,9,1,0,18,17,16,16,2,9,525,112,1,1,0,0.472222222,0,0,10.88888889,2,0.7778,0
data_prop,30,,6,2,0,10,9,9,10,0,4,0.857142857,91,0.428571429,5,0.764705882,0.4,1,1,13,1,0.6667,0
data_prop,31,,16,1,0,15,50,68,0,15,12,0.816666667,365,1,7,0,0.2,0,0,21.3125,4,1.4375,0
data_prop,32,,6,2,0,11,43,1,0,11,2,1,243,1,1,0.75,0.44,2,2,37.83333333,4,1.8333,0
data_prop,33,,5,2,0,31,8,6,30,1,3,875,79,0.333333333,5,0.8125,0.416666667,1,1,13.6,1,0.6,0
data_prop,34,,10,1,0,1,14,21,0,1,10,0.740740741,109,1,1,0,0.32,1,1,9.6,7,1.5,0
data_prop,35,,1,1,0,0,2,0,0,0,1,2,7,0,0,0,1,0,0,3,0,0,0
data_prop,36,,2,1,0,2,2,1,2,0,2,2,2,0,0,0,875,0,0,0,1,1,0
data_prop,37,,14,2,0,7,17,91,0,7,14,2,54,0,0,0.566666667,1,1,4,2.857142857,1,0.9286,0
data_prop,38,,16,1,0,5,41,0,2,4,14,775,254,0.75,1,0,0.257142857,0,0,14375,3,1.5625,1
data_prop,39,,11,1,0,12,11,55,7,5,11,2,11,0,0,0,0.337662338,0,0,0,1,1,0
data_prop,40,,7,1,15,20,10,11,15,5,5,0.777777778,39,1,2,0,0.476190476,0,0,4.142857143,1,0.8571,0
data_prop,41,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,42,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,43,,12,1,0,15,42,16,0,15,10,0.757575758,354,1,5,0,0.242424242,0,0,28,4,1.5,0
data_prop,44,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,45,,8,1,0,17,60,10,1,16,2,0.732142857,495,1,3,0,0.2875,0,0,59875,3,1.25,0
data_prop,46,,2,1,0,0,10,1,0,0,2,2,45,0,0,0,0.5,0,0,21.5,4,2,0
data_prop,47,,21,1,6,39,76,182,8,31,4,0.95625,495,1,4,0,0.111111111,0,0,21.80952381,2,1.0952,0
data_prop,48,,5,4,2,11,8,8,11,0,4,1,26,1,0,0.894736842,0.6,0,0,3.8,1,0.4,0
data_prop,49,,2,4,0,15,43,0,1,14,2,0.666666667,402,1,0,0.996168582,0.555555556,2,3,198.5,17,8.5,0
data_prop,50,,2,2,0,5,9,1,1,4,1,2,29,0,0,0.909090909,0.75,1,2,13.5,1,0.5,0
data_prop,51,,2,1,0,3,9,1,0,3,1,1,26,0,1,0,1,0,0,11.5,0,0,0
data_prop,52,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,53,,4,1,0,0,8,0,0,0,4,0.333333333,23,1,0,0,625,0,0,4.5,1,0.75,0
data_prop,54,,3,2,0,8,14,3,1,7,3,2,54,0,0,0.75,0.555555556,0,0,17,2,1,0
data_prop,55,,13,2,0,9,19,78,0,9,13,2,57,0,0,0.586206897,1,1,3,3.384615385,1,0.9231,0
data_prop,56,,16,1,0,20,65,88,0,20,9,0.857142857,367,1,6,0,0.158974359,0,0,21.5,5,1.4375,0
data_prop,57,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,58,,1,1,0,0,2,0,0,0,1,2,77,0,0,0,1,0,0,3,0,0,0
data_prop,59,,3,5,0,16,6,3,15,1,2,1.5,16,1,0,1,0.666666667,0,0,4,0,0,0
data_prop,60,,7,2,0,7,17,21,1,7,7,2,73,0,0,0.25,0.428571429,0,0,9.428571429,2,1,0
data_prop,61,,29,1,0,14,46,260,10,4,28,0.89010989,443,1,3,0,0.183908046,1,1,13.82758621,8,1.4138,0
