name,version,package_name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
xerces,1.3.0,org.w3c.dom.html.HTMLParagraphElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.WMLMetaElement,10,1,0,2,10,45,1,1,10,2,10,0,0,0,0.5,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.html.HTMLObjectElement,35,1,0,0,35,595,0,0,35,2,35,0,0,0,0.371428571,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.AttrImpl,38,2,2,16,102,417,9,10,24,0.817567568,1440,0.75,1,0.556962025,0.174174174,1,16,36.78947368,16,2.7368,0
xerces,1.3.0,org.w3c.dom.html.HTMLDocument,19,1,0,0,19,171,0,0,19,2,19,0,0,0,0.438596491,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.CharacterData,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.666666667,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.dom.WMLDoElementImpl,15,4,0,3,18,105,0,3,15,2,83,0,0,0.854166667,0.533333333,1,6,4.533333333,1,0.9333,0
xerces,1.3.0,org.apache.wml.WMLStrongElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.readers.UTF8Reader,41,2,0,13,75,0,1,12,22,0.608823529,7463,0.882352941,3,0.152173913,0.170833333,1,4,180.6097561,2,1.0488,0
xerces,1.3.0,org.apache.xerces.validators.schema.identity.Key,3,2,0,5,4,1,4,1,3,0.5,16,1,0,0.8,0.666666667,0,0,4,1,0.6667,0
xerces,1.3.0,org.apache.html.dom.HTMLAppletElementImpl,23,4,0,2,26,253,0,2,23,2,127,0,0,0.810344828,0.52173913,0,0,4.52173913,1,0.9565,0
xerces,1.3.0,org.xml.sax.XMLFilter,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.validators.datatype.QNameDatatypeValidator,9,2,0,6,34,30,1,5,7,0.669117647,721,1,2,0.363636364,0.285714286,0,0,77.22222222,1,0.7778,1
xerces,1.3.0,org.xml.sax.XMLReader,14,1,0,0,14,91,0,0,14,2,14,0,0,0,0.206349206,0,0,0,1,1,0
xerces,1.3.0,org.xml.sax.helpers.XMLReaderFactory,3,1,0,0,14,3,0,0,2,2,102,0,0,0,0.333333333,0,0,33,1,0.6667,0
xerces,1.3.0,org.apache.html.dom.HTMLCollectionImpl,9,1,0,9,22,18,7,2,3,1.028846154,366,0.153846154,1,0,0.317460317,0,0,38.22222222,17,4.6667,0
xerces,1.3.0,org.apache.xerces.framework.XMLDocumentScanner,47,1,0,23,111,677,7,17,18,0.944317315,2575,0.070175439,15,0,0.150724638,0,0,52.57446809,2,1.0426,1
xerces,1.3.0,org.apache.xerces.dom.DeferredNode,1,1,0,16,1,0,16,0,1,2,1,0,0,0,1,0,0,0,1,1,2
xerces,1.3.0,org.apache.html.dom.HTMLBaseElementImpl,5,4,0,2,8,10,0,2,5,2,28,0,0,0.959183673,0.6,0,0,4.6,1,0.8,0
xerces,1.3.0,org.xml.sax.DocumentHandler,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.354166667,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.DeferredNotationImpl,3,3,0,5,12,0,1,5,1,0.75,59,0.5,0,0.961538462,0.555555556,2,3,18,1,0.6667,2
xerces,1.3.0,org.xml.sax.DTDHandler,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.WMLEmElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.validators.datatype.DecimalDatatypeValidator,14,2,0,9,52,75,3,6,8,0.757692308,1409,1,3,0.25,0.18452381,0,0,98.21428571,4,1.0714,0
xerces,1.3.0,org.w3c.dom.html.HTMLOptGroupElement,4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.5,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.CommentImpl,3,3,1,3,4,3,2,2,3,1.5,13,0,0,0.964285714,0.555555556,1,4,3,1,0.6667,0
xerces,1.3.0,org.apache.xerces.dom.DeferredTextImpl,3,4,0,4,9,0,1,4,1,0.75,44,0.5,0,0.967741935,0.555555556,3,12,13,2,1,2
xerces,1.3.0,org.apache.wml.dom.WMLImgElementImpl,23,4,0,3,26,253,0,3,23,2,127,0,0,0.788461538,0.52173913,1,6,4.52173913,1,0.9565,0
xerces,1.3.0,org.apache.wml.dom.WMLTableElementImpl,13,4,0,3,18,78,0,3,13,2,73,0,0,0.872340426,0.403846154,1,6,4.615384615,1,0.9231,0
xerces,1.3.0,javax.xml.parsers.FactoryConfigurationError,6,3,0,0,10,0,0,0,6,0,50,1,0,0.894736842,0.555555556,1,1,7.166666667,3,0.6667,0
xerces,1.3.0,org.w3c.dom.html.HTMLParamElement,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.html.dom.HTMLImageElementImpl,27,4,0,2,33,351,0,2,27,2,151,0,0,0.783333333,0.388888889,0,0,4.592592593,1,0.963,0
xerces,1.3.0,org.apache.xerces.readers.XMLDeclRecognizer,5,1,3,12,15,8,7,9,3,0.75,191,1,0,0,0.333333333,0,0,36.6,1,0.6,0
xerces,1.3.0,org.apache.wml.dom.WMLBigElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0
xerces,1.3.0,org.w3c.dom.html.HTMLQuoteElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.html.HTMLLinkElement,18,1,0,0,18,153,0,0,18,2,18,0,0,0,0.5,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.events.MutationEventImpl,7,2,0,7,9,1,6,1,7,0.972222222,70,0,1,0.6,0.314285714,0,0,7.285714286,1,0.8571,0
xerces,1.3.0,org.apache.wml.dom.WMLBElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0
xerces,1.3.0,org.apache.xerces.validators.common.CMStateSet,12,1,0,7,18,0,6,1,3,0.054545455,517,0,0,0,0.416666667,1,1,41.66666667,7,2.75,0
xerces,1.3.0,org.apache.xerces.validators.common.XMLAttributeDecl,6,1,0,8,12,3,6,2,6,1,114,0,2,0,0.5,1,1,13.33333333,1,0.6667,0
xerces,1.3.0,org.xml.sax.SAXNotSupportedException,1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,0
xerces,1.3.0,org.apache.html.dom.HTMLBaseFontElementImpl,7,4,0,2,11,21,0,2,7,2,43,0,0,0.94,0.571428571,0,0,5.142857143,1,0.8571,0
xerces,1.3.0,org.apache.xml.serialize.HTMLSerializer,17,2,1,7,79,102,2,5,10,0.5625,1190,0.5,0,0.835820896,0.210227273,1,8,68.88235294,37,7.4706,0
